,index,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
63,2021-11-30,0.15146307839110013,-0.02907626364947962,0.34880999999999984,0.7924780026078224,0.005816666666666667,-0.051788888888888884,-0.004566666666666666,0.6975742081801096
64,2021-12-01,0.14616025921689624,-0.07913585369158907,0.3186399999999998,0.7322471246123314,-0.10066666666666667,-0.10862416875522139,-0.12894999999999998,0.750231514374415
65,2021-12-02,0.2184149513201427,0.04758275114115275,0.4594449999999998,0.8090495422482491,0.032799027777777774,-0.036275755364180394,0.0776,0.845219075679779
66,2021-12-03,0.12407065417112846,-0.1003178753276122,0.2356249999999998,0.7459308862686157,0.036837499999999995,0.10119224333074335,0.1980833333333333,0.8680096666018168
67,2021-12-06,0.2473429683152823,0.16316517996024738,0.5658599999999998,0.8386398956179619,-0.0037900000000000013,-0.06395025252525251,-0.03414999999999999,0.6419525146484375
68,2021-12-07,0.17785667204294894,0.03340752051008895,0.40974999999999984,0.7826956391334534,0.20702743055555559,-0.04000033672891908,0.2446666666666666,0.7482328216234843
70,2021-12-09,0.16958392583610973,0.0019572847357283594,0.3937749999999999,0.7118582293391228,0.0,-0.07025185185185186,-0.0088,0.6962035894393921
72,2021-12-14,0.3276211086569492,0.6206859088955557,0.8081250000000001,0.8567598089575768,0.0,-0.09763888888888887,0.09408333333333335,0.6972943743069967
74,2021-12-16,0.26469270283655355,0.4244468161466567,0.6920249999999999,0.8756699174642563,0.023462393162393166,-0.09509852249200079,0.049983333333333324,0.8629419505596161
75,2021-12-17,0.2550162127154722,0.09474691289851961,0.5199549999999998,0.8100166738033294,0.08569916666666667,-0.06703663194444444,0.12798333333333334,0.6975313822428385
77,2021-12-21,0.12206670534811492,-0.09587411199602645,0.27024499999999974,0.7324917614459991,0.013504166666666666,-0.07091507936507938,0.0030333333333333323,0.6938056151072184
78,2021-12-22,0.34866145433689366,0.6121842023635714,0.8376899999999999,0.865845850110054,0.0,-0.0301486111111111,-0.009266666666666666,0.6755158603191376
79,2021-12-23,0.24341175563525025,0.08616704412955616,0.5283999999999998,0.8177139893174171,-0.06645833333333333,-0.0849300501253133,-0.04391666666666666,0.6956089039643606
81,2021-12-27,0.4291122556595873,0.9726698226539522,0.9607750000000002,0.8912955015897751,0.0,-0.03154444444444444,-0.02783333333333333,0.6964362661043803
82,2021-12-28,0.2384901713804045,0.1629619147067857,0.55931,0.8154580816626549,0.022966527777777777,-0.07997121212121212,0.01098333333333334,0.6977362831433614
84,2021-12-30,0.30466656593879804,0.4362141408187602,0.69444,0.9048953130841255,0.087424375,-0.08212179487179487,0.13481666666666667,0.6967089275519053
85,2021-12-31,0.15453815067957902,-0.06576772955810677,0.33930999999999983,0.7751038387417793,0.05598703703703704,-0.08991666666666666,0.11613333333333335,0.6976304352283478
87,2022-01-04,0.3881809873003701,0.8476657693297476,0.8805799999999999,0.8825868636369705,0.02283333333333333,-0.09742351702508961,-0.004916666666666671,0.7215316792329153
88,2022-01-05,0.36232947576420904,0.8993830488650941,0.8743049999999999,0.9289105564355851,0.059794102564102565,-0.06955844296624784,0.15606666666666666,0.716174711783727
89,2022-01-06,0.41586437310158664,0.9701031284179648,0.92702,0.9075055763125419,0.13019214646464647,-0.0647377198879552,0.1688666666666666,0.7481881578763326
90,2022-01-07,0.3338275567978686,0.7541053076084071,0.8190500000000001,0.8972668439149857,0.07997727272727272,-0.06938636363636363,0.12741666666666668,0.6957896451155344
93,2022-01-12,0.346139438506874,0.6212635674363011,0.843815,0.820823909342289,0.0025499999999999997,-0.07331150793650794,-0.019333333333333334,0.6169201532999674
94,2022-01-13,0.1972520874708032,0.09736634198953932,0.4811449999999998,0.7633611917495727,0.06557037037037036,-0.05597407407407407,0.11970000000000001,0.6974541743596395
95,2022-01-14,0.35402377707900007,0.8526806523588577,0.8989849999999999,0.8338279202580452,0.02733694444444444,-0.07894111111111111,0.06865,0.6288487414518992
97,2022-01-18,0.36788287584554247,0.9723501080347315,0.9405750000000002,0.8572684347629547,0.05467324074074074,-0.07335320261437911,0.12906666666666666,0.699748307466507
